longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.12,33.99,27.0,2316.0,559.0,2012.0,544.0,2.8155,176800.0
-120.35,39.34,29.0,1986.0,474.0,337.0,100.0,4.0278,95800.0
-117.87,33.86,19.0,2232.0,448.0,1149.0,417.0,3.1534,324400.0
-117.92,33.87,36.0,1125.0,285.0,966.0,257.0,2.8438,162500.0
-117.05,32.61,21.0,6034.0,1205.0,3795.0,1146.0,3.2633,129700.0
-120.44,34.94,24.0,2481.0,476.0,1101.0,474.0,3.1576,147200.0
-118.27,33.77,26.0,2272.0,694.0,2567.0,595.0,1.9964,150600.0
-122.21,37.43,33.0,1606.0,254.0,727.0,271.0,8.6963,500001.0
-117.74,33.62,16.0,1889.0,590.0,686.0,537.0,3.4706,241700.0
-122.41,37.77,52.0,361.0,76.0,168.0,55.0,3.2292,275000.0
-118.23,33.95,42.0,705.0,173.0,739.0,140.0,0.9166,99000.0
-117.97,34.08,30.0,2227.0,474.0,1961.0,481.0,3.3261,164100.0
-120.1,39.19,18.0,3824.0,559.0,241.0,106.0,5.5456,360000.0
-118.15,33.79,5.0,3700.0,993.0,1657.0,848.0,3.7826,196300.0
-122.01,36.99,41.0,2548.0,508.0,1290.0,488.0,3.6902,233000.0
-118.61,34.24,17.0,5406.0,895.0,2337.0,882.0,6.0137,375900.0
-122.14,37.73,43.0,2264.0,390.0,931.0,368.0,3.8125,235100.0
-121.37,38.69,35.0,1851.0,327.0,1007.0,286.0,3.2361,84000.0
-117.25,33.38,17.0,1614.0,431.0,1031.0,389.0,2.0956,134400.0
-118.6,34.02,36.0,2043.0,467.0,606.0,326.0,8.4331,500001.0
-119.65,36.37,4.0,3725.0,783.0,1478.0,600.0,3.5486,148000.0
-119.02,35.32,14.0,2927.0,588.0,1821.0,561.0,3.3529,82600.0
-118.43,33.99,43.0,2483.0,548.0,1212.0,493.0,4.0189,302900.0
-118.37,33.84,32.0,1751.0,328.0,819.0,323.0,6.7105,339000.0
-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,187300.0
-118.35,33.97,30.0,1548.0,330.0,757.0,349.0,3.8056,323800.0
-117.2,33.29,12.0,6358.0,1182.0,2778.0,1020.0,4.0357,295900.0
-122.18,37.73,42.0,909.0,215.0,646.0,198.0,2.9063,80000.0
-118.14,34.11,52.0,2742.0,422.0,1153.0,414.0,8.1124,500001.0
-117.14,32.72,43.0,1073.0,344.0,660.0,279.0,2.0529,168800.0
-121.3,38.72,15.0,2514.0,482.0,1166.0,503.0,2.2813,131900.0
-117.13,32.73,52.0,1148.0,214.0,481.0,215.0,5.454,240900.0
-119.8,36.78,50.0,1818.0,374.0,737.0,338.0,2.2614,73000.0
-118.12,34.08,36.0,2433.0,585.0,1565.0,563.0,3.2344,234900.0
-118.01,34.11,43.0,1858.0,345.0,1054.0,329.0,3.5625,211600.0
-118.11,34.2,36.0,4915.0,725.0,1897.0,700.0,6.827,359400.0
-121.87,39.75,22.0,1707.0,296.0,822.0,297.0,3.6625,126600.0
-118.32,33.94,37.0,2740.0,504.0,1468.0,479.0,4.5368,168800.0
-118.3,33.98,52.0,1371.0,315.0,986.0,277.0,2.9432,94000.0
-119.21,37.25,44.0,3042.0,697.0,335.0,115.0,4.1838,85600.0
-121.91,38.02,15.0,2966.0,558.0,1687.0,527.0,3.4817,129800.0
-117.96,34.07,32.0,2910.0,709.0,2583.0,670.0,3.7736,158400.0
-123.84,39.46,47.0,1150.0,244.0,552.0,201.0,2.5192,110400.0
-118.03,34.1,30.0,2773.0,634.0,1376.0,540.0,2.7857,201700.0
-117.29,33.63,7.0,16010.0,2726.0,7139.0,2426.0,3.8056,162200.0
-121.98,36.98,29.0,2681.0,632.0,1652.0,620.0,3.075,215800.0
-122.45,37.77,52.0,3095.0,682.0,1269.0,639.0,3.575,500001.0
-122.28,37.86,52.0,938.0,195.0,393.0,189.0,3.8594,196400.0
-117.19,33.41,16.0,3031.0,554.0,1301.0,518.0,4.0882,296100.0
-118.43,34.21,26.0,2867.0,671.0,1955.0,640.0,4.125,226500.0
-117.17,32.69,40.0,2236.0,331.0,767.0,316.0,5.3177,500001.0
-122.12,37.16,32.0,1602.0,317.0,752.0,275.0,5.1664,185100.0
-117.83,33.89,25.0,1737.0,270.0,840.0,265.0,4.625,245700.0
-119.78,36.83,11.0,2754.0,663.0,1328.0,604.0,2.3667,69300.0
-117.07,32.77,34.0,2245.0,394.0,1849.0,429.0,3.5446,185500.0
-118.05,33.97,36.0,2854.0,688.0,2816.0,673.0,3.6,154000.0
-118.12,33.89,22.0,6876.0,1960.0,5162.0,1879.0,2.9293,170800.0
-122.44,37.63,35.0,5113.0,959.0,3004.0,964.0,4.7625,281300.0
-118.24,33.96,34.0,946.0,254.0,1101.0,239.0,1.7396,105900.0
-118.3,33.73,40.0,2582.0,606.0,1304.0,588.0,3.5694,276400.0
-120.88,37.57,22.0,1440.0,267.0,774.0,249.0,3.9821,204300.0
-122.04,37.37,33.0,2757.0,489.0,1201.0,481.0,5.0453,311600.0
-121.85,39.74,41.0,2901.0,689.0,1426.0,632.0,1.5633,84500.0
-121.96,36.98,16.0,4907.0,1117.0,2265.0,1048.0,2.6757,229200.0
-118.21,33.92,28.0,2949.0,1003.0,4551.0,930.0,1.9026,131900.0
-118.31,34.26,37.0,1444.0,246.0,624.0,239.0,5.76,239400.0
-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,74600.0
-117.89,34.07,32.0,2374.0,450.0,1580.0,427.0,3.8837,200300.0
-118.41,33.97,44.0,2789.0,503.0,3732.0,474.0,4.6176,352300.0
-118.52,34.26,21.0,8850.0,2139.0,4717.0,1979.0,3.7816,254200.0
-117.91,34.06,29.0,3250.0,521.0,1382.0,513.0,5.112,218300.0
-122.27,37.9,52.0,1803.0,240.0,572.0,236.0,6.174,358800.0
-122.41,37.78,52.0,254.0,72.0,153.0,29.0,3.8625,350000.0
-117.98,34.04,29.0,1468.0,310.0,1390.0,276.0,3.75,190600.0
-117.3,34.12,34.0,1127.0,275.0,971.0,249.0,2.0583,64800.0
-119.03,35.4,35.0,2608.0,620.0,1566.0,583.0,2.1818,63500.0
-117.04,32.71,28.0,5274.0,991.0,3727.0,961.0,3.57,109800.0
-122.04,38.28,12.0,3861.0,795.0,2129.0,806.0,3.676,135000.0
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0
-121.32,38.67,10.0,3908.0,890.0,1898.0,798.0,2.8426,130600.0
-118.17,34.11,39.0,1758.0,436.0,892.0,447.0,3.6406,278900.0
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0
-118.68,34.27,16.0,4637.0,941.0,2476.0,878.0,4.0568,225200.0
-121.23,38.69,19.0,5268.0,849.0,2357.0,849.0,3.9226,148700.0
-117.98,33.86,25.0,1025.0,266.0,726.0,183.0,3.875,137500.0
-122.25,37.76,52.0,2876.0,648.0,1340.0,632.0,3.567,252900.0
-117.25,32.8,32.0,1601.0,468.0,731.0,429.0,2.5568,258300.0
-117.14,33.15,17.0,1149.0,182.0,702.0,192.0,5.5696,168400.0
-118.39,34.23,43.0,1193.0,299.0,1184.0,320.0,2.1518,161600.0
-117.25,32.73,37.0,2224.0,331.0,821.0,341.0,6.3331,400000.0
-118.1,33.89,36.0,769.0,142.0,498.0,137.0,4.7159,182100.0
-117.21,32.86,24.0,3596.0,494.0,1573.0,492.0,6.5382,326000.0
-122.51,38.06,24.0,9493.0,1935.0,5162.0,1880.0,3.0742,118800.0
-118.48,34.22,22.0,3430.0,1214.0,3618.0,1092.0,2.1974,93800.0
-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,219500.0
-117.21,34.11,27.0,1245.0,229.0,692.0,234.0,3.2176,89400.0
-118.02,33.85,31.0,1922.0,329.0,1030.0,353.0,5.3416,213000.0
-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,500001.0
-122.16,37.7,36.0,1097.0,208.0,568.0,225.0,2.9917,194600.0
-121.95,37.35,52.0,2382.0,523.0,1096.0,492.0,4.2656,236100.0
-118.36,33.9,18.0,3380.0,922.0,2276.0,854.0,4.0727,214000.0
-118.34,34.19,47.0,1721.0,343.0,834.0,334.0,4.1923,231200.0
-118.43,34.2,28.0,3386.0,,2240.0,737.0,3.0221,290100.0
-124.08,41.36,29.0,1029.0,239.0,509.0,196.0,2.0156,62800.0
-121.96,37.54,14.0,5106.0,1207.0,2738.0,1108.0,3.9909,236000.0
-119.14,34.28,31.0,790.0,241.0,1095.0,222.0,2.25,75000.0
-120.06,36.97,35.0,1859.0,428.0,1208.0,399.0,1.4044,61700.0
-121.45,38.48,28.0,2780.0,510.0,1638.0,533.0,2.9571,103100.0
-121.28,38.68,16.0,3467.0,615.0,1478.0,601.0,3.75,147300.0
-120.44,34.97,22.0,1619.0,360.0,1509.0,384.0,1.7941,110300.0
-117.28,32.77,38.0,1267.0,340.0,442.0,250.0,4.3403,500000.0
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,134900.0
-118.84,34.17,16.0,3449.0,820.0,1877.0,816.0,3.2176,187500.0
-117.94,33.79,24.0,4179.0,784.0,1902.0,733.0,4.7986,236500.0
-118.1,33.79,35.0,2370.0,379.0,996.0,380.0,5.7368,287200.0
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,115000.0
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0
-118.31,33.93,42.0,1173.0,201.0,602.0,186.0,5.5787,142000.0
-120.08,36.79,38.0,1446.0,285.0,928.0,255.0,2.9808,89600.0
-118.45,34.05,23.0,4099.0,1287.0,2103.0,1217.0,3.7549,275000.0
-122.48,37.69,33.0,2347.0,512.0,1259.0,481.0,3.4492,264300.0
-116.89,32.85,15.0,3560.0,593.0,1757.0,574.0,5.1185,185300.0
-123.41,41.6,23.0,1654.0,369.0,669.0,273.0,1.965,65400.0
-118.35,34.05,52.0,1971.0,414.0,1065.0,409.0,3.6435,195800.0
-120.94,40.14,31.0,3127.0,664.0,1345.0,580.0,1.5774,58000.0
-117.94,34.04,33.0,1493.0,331.0,1571.0,354.0,3.8864,158900.0
-122.84,38.41,19.0,2191.0,391.0,1065.0,404.0,4.125,204600.0
-118.35,33.98,33.0,1884.0,477.0,1518.0,449.0,3.1194,152800.0
-122.27,37.88,44.0,2252.0,592.0,989.0,550.0,3.0132,272900.0
-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3.1827,71700.0
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0
-122.5,38.4,36.0,1860.0,364.0,777.0,339.0,4.1307,295700.0
-118.04,33.8,33.0,2685.0,466.0,1359.0,476.0,5.0261,245100.0
-118.0,33.81,22.0,2642.0,640.0,1702.0,588.0,3.5268,174700.0
-118.99,35.37,38.0,918.0,220.0,743.0,222.0,1.7292,58100.0
-121.34,38.67,34.0,1503.0,264.0,731.0,285.0,4.0352,118500.0
-117.21,34.51,17.0,4379.0,629.0,1720.0,595.0,5.086,148400.0
-117.51,33.88,24.0,3044.0,602.0,2541.0,564.0,4.131,123800.0
-117.94,33.88,35.0,2159.0,343.0,833.0,335.0,5.3738,365100.0
-118.23,33.95,27.0,504.0,142.0,789.0,167.0,0.9518,91400.0
