longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.5,37.97,25.0,6526.0,1902.0,5917.0,1812.0,2.7273,187500.0
-117.85,33.78,23.0,3187.0,870.0,1977.0,852.0,3.3939,212100.0
-119.81,36.51,31.0,1241.0,254.0,767.0,226.0,2.7321,83600.0
-122.21,37.52,18.0,2962.0,945.0,1639.0,851.0,2.7399,87500.0
-118.58,34.22,35.0,2560.0,441.0,1428.0,468.0,5.6345,228200.0
-121.85,37.33,19.0,2228.0,559.0,2845.0,551.0,2.6,172800.0
-118.26,34.11,47.0,2183.0,510.0,1445.0,503.0,3.6667,210900.0
-121.89,37.31,52.0,1994.0,404.0,1014.0,389.0,4.3882,223600.0
-118.35,33.85,34.0,1770.0,291.0,916.0,289.0,5.0,354200.0
-118.39,34.17,26.0,6429.0,1611.0,2806.0,1491.0,3.1929,265200.0
-122.37,40.58,25.0,2054.0,495.0,835.0,475.0,2.1538,76900.0
-117.83,33.9,23.0,2446.0,360.0,1196.0,359.0,6.5755,272800.0
-121.47,38.53,44.0,543.0,146.0,506.0,125.0,1.3646,65400.0
-119.99,38.88,17.0,2807.0,529.0,675.0,251.0,2.7457,107800.0
-121.7,39.07,26.0,2668.0,510.0,1437.0,505.0,3.3125,100000.0
-118.32,34.12,52.0,3410.0,800.0,1218.0,783.0,4.15,393500.0
-122.24,37.82,52.0,3665.0,517.0,1470.0,520.0,6.155,398600.0
-119.67,37.27,13.0,5087.0,981.0,2284.0,913.0,2.7413,123100.0
-118.3,34.17,37.0,350.0,115.0,342.0,111.0,3.0687,200000.0
-118.2,34.09,39.0,1594.0,430.0,1668.0,378.0,2.5343,138200.0
-117.67,33.64,11.0,2722.0,554.0,1565.0,508.0,5.1645,164100.0
-122.13,37.45,37.0,2295.0,332.0,933.0,332.0,6.7257,500001.0
-121.87,37.32,36.0,1471.0,360.0,1182.0,326.0,2.7031,175800.0
-122.3,38.28,31.0,1633.0,316.0,944.0,300.0,3.3977,158700.0
-118.42,34.18,31.0,2887.0,646.0,1626.0,637.0,3.6745,335500.0
-118.37,34.14,21.0,4670.0,1161.0,1914.0,1094.0,3.7986,367700.0
-118.33,34.24,31.0,6434.0,1188.0,3540.0,1131.0,4.2639,293300.0
-119.19,34.19,35.0,2599.0,552.0,2726.0,543.0,3.2212,180500.0
-117.79,33.69,16.0,3067.0,396.0,1275.0,372.0,8.7385,340000.0
-122.47,37.78,51.0,1485.0,386.0,880.0,385.0,2.7431,307100.0
-117.84,33.74,25.0,1818.0,577.0,1426.0,532.0,3.2104,112500.0
-118.26,33.97,46.0,1521.0,352.0,1100.0,334.0,1.55,100600.0
-121.66,36.37,9.0,1580.0,287.0,465.0,208.0,6.1668,405800.0
-117.97,33.67,17.0,4466.0,640.0,2166.0,666.0,6.979,330700.0
-121.8,37.26,26.0,1394.0,238.0,990.0,315.0,4.8862,195000.0
-117.88,33.79,32.0,1484.0,295.0,928.0,295.0,5.1418,190300.0
-122.07,37.96,37.0,1217.0,199.0,552.0,194.0,5.0445,196200.0
-118.1,34.58,32.0,1489.0,306.0,774.0,267.0,3.275,103500.0
-118.28,33.96,42.0,1206.0,304.0,1167.0,250.0,1.615,101300.0
-117.29,34.12,47.0,1648.0,432.0,1308.0,385.0,1.2069,68200.0
-117.97,33.83,16.0,2035.0,564.0,1118.0,503.0,3.2546,187500.0
-119.31,36.2,23.0,1837.0,332.0,1064.0,335.0,3.1453,74500.0
-117.02,32.7,18.0,1643.0,283.0,1134.0,269.0,5.1769,133000.0
-121.94,37.29,20.0,710.0,188.0,363.0,176.0,4.0962,214100.0
-118.37,34.03,39.0,213.0,44.0,138.0,52.0,2.125,196400.0
-118.52,34.04,43.0,2167.0,254.0,761.0,256.0,13.6842,500001.0
-117.04,32.68,9.0,3087.0,609.0,1530.0,556.0,3.775,125000.0
-122.31,37.55,45.0,507.0,140.0,305.0,139.0,2.6159,272900.0
-118.17,33.79,32.0,2171.0,672.0,3002.0,648.0,2.375,139700.0
-117.83,33.82,23.0,1100.0,285.0,940.0,267.0,3.6953,150000.0
-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,105700.0
-121.42,38.72,10.0,3054.0,528.0,1932.0,510.0,3.0903,91900.0
-122.95,39.13,17.0,380.0,69.0,225.0,72.0,3.25,137500.0
-118.53,34.19,32.0,2618.0,692.0,1961.0,633.0,2.625,192300.0
-118.12,33.81,36.0,1774.0,299.0,784.0,298.0,5.0447,249200.0
-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1.95,61000.0
-118.1,33.85,28.0,2825.0,470.0,1352.0,469.0,5.2639,242000.0
-121.92,37.34,42.0,2101.0,524.0,1212.0,526.0,3.6389,239200.0
-117.9,33.68,25.0,7060.0,1159.0,3903.0,1139.0,4.8359,249200.0
-120.01,38.92,25.0,1758.0,357.0,689.0,278.0,2.675,104200.0
-116.88,32.81,35.0,2926.0,562.0,1590.0,506.0,4.2014,143200.0
-122.05,39.6,34.0,2051.0,342.0,958.0,322.0,2.8466,95300.0
-118.16,33.77,49.0,3382.0,787.0,1314.0,756.0,3.8125,382100.0
-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1.654,100000.0
-118.58,34.12,42.0,718.0,140.0,324.0,131.0,6.4018,500001.0
-118.29,33.92,23.0,2503.0,532.0,1735.0,505.0,2.7368,162800.0
-122.17,38.06,16.0,3515.0,626.0,1764.0,626.0,4.4397,187100.0
-119.45,35.15,33.0,5050.0,964.0,2293.0,919.0,3.1592,75400.0
-121.96,37.25,35.0,1018.0,169.0,484.0,174.0,6.1648,371900.0
-122.04,37.54,26.0,2145.0,369.0,1285.0,377.0,4.9464,223800.0
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0
-117.79,33.68,16.0,1998.0,308.0,818.0,299.0,6.8722,326100.0
-117.77,33.71,5.0,4050.0,584.0,1986.0,598.0,7.5847,375700.0
-117.37,34.13,18.0,5877.0,1043.0,3114.0,1002.0,4.0294,133200.0
-122.42,37.78,17.0,1257.0,339.0,1093.0,384.0,1.8438,72500.0
-121.9,37.26,20.0,4447.0,661.0,2062.0,660.0,6.8088,283300.0
-119.69,34.44,41.0,1989.0,271.0,666.0,269.0,6.8406,500001.0
-117.06,32.56,5.0,2706.0,925.0,3148.0,855.0,1.7301,125000.0
-117.23,33.1,4.0,1862.0,291.0,685.0,248.0,7.745,237400.0
-117.14,32.74,16.0,6075.0,1816.0,2592.0,1634.0,2.5553,178100.0
-121.62,39.79,11.0,3835.0,727.0,1456.0,658.0,2.5374,97200.0
-122.0,37.98,36.0,404.0,77.0,237.0,88.0,4.525,161300.0
-122.25,37.77,52.0,2156.0,458.0,872.0,445.0,3.2685,254200.0
-117.31,34.11,41.0,1105.0,257.0,816.0,197.0,1.9375,64100.0
-117.13,32.58,27.0,1417.0,373.0,814.0,348.0,2.3603,195300.0
-120.48,41.82,20.0,1367.0,284.0,429.0,181.0,2.0227,47500.0
-117.19,32.69,35.0,2921.0,438.0,1042.0,415.0,6.3612,482700.0
-117.03,34.91,27.0,2718.0,583.0,1472.0,509.0,2.825,76600.0
-122.45,37.66,35.0,2738.0,509.0,1545.0,493.0,5.3446,263300.0
-117.1,32.58,27.0,2616.0,591.0,1889.0,577.0,2.3824,127600.0
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0
-118.4,33.85,29.0,2085.0,533.0,919.0,489.0,5.6017,430000.0
-116.74,33.62,11.0,2385.0,661.0,682.0,242.0,2.9141,214300.0
-122.23,40.32,10.0,2336.0,426.0,1003.0,368.0,3.0833,81300.0
-117.02,32.81,14.0,3173.0,599.0,1451.0,585.0,3.7292,182200.0
-119.76,36.8,29.0,3494.0,662.0,1781.0,616.0,2.5893,70900.0
-118.51,34.14,28.0,6748.0,904.0,2431.0,876.0,12.8879,500001.0
-123.0,38.51,33.0,1565.0,390.0,759.0,311.0,2.6726,153100.0
